id,product_name,product_price,brand,product_image_url,product_info,real_pdp_url
8100001270,"Apple iPhone Xs Max 512GB, Silver",19999000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-max-silver_1_2_1.jpg,Stok Habis,https://ibox.co.id/product/apple-iphone-xs-max-512gb-silver-qr-new
8100001269,"Apple iPhone Xs Max 512GB, Space Grey",19999000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-max-space-gray_1_2_1.jpg,Stok Habis,https://ibox.co.id/product/apple-iphone-xs-max-512gb-space-grey-new
8100001137,"Apple iPhone Xs 512GB, Space Grey",18999000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-space-gray_1_2_1.jpg,Stok Habis,https://ibox.co.id/product/apple-iphone-xs-512gb-space-grey-new
8100001132,"Apple iPhone Xs 64GB, Silver",11999000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-silver_1_2.jpg,Stok Habis,https://ibox.co.id/product/apple-iphone-xs-64gb-silver-new
8100001131,"Apple iPhone Xs 64GB, Space Grey",11999000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-space-gray_1_1.jpg,Stok Habis,https://ibox.co.id/product/apple-iphone-xs-64gb-space-grey-qrp
8100010757,Apple AirPods With Wireless Charging Case (Generasi ke-2),2799000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/a/p/apple-airpods-with-charging-case-1_2.jpg,Click & Pickup,https://ibox.co.id/product/apple-airpods-with-wireless-charging-case-generasi-ke2
8100004719,JBL Earphone T110BT - Grey,199000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_t110bt_grey_1.jpg,Click & Pickup,https://ibox.co.id/product/jbl-earphone-t110bt-grey
8100004717,JBL Earphone T110BT - White,199000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_t110bt_white_1_2.jpg,Click & Pickup,https://ibox.co.id/product/jbl-earphone-t110bt-white-1
8100004720,JBL Earphone T110BT - Pink,700000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_t110bt_pink_1.jpg,Click & Pickup,https://ibox.co.id/product/jbl-earphone-t110bt-pink
8100004718,JBL Earphone T110BT - Blue,199000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_t110bt_blue_1.jpg,Click & Pickup,https://ibox.co.id/product/jbl-earphone-t110bt-blue-new
8100022902,JBL Charge 4 - Red,1949000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl-charge-2-red-1_1.jpg,Stok Habis,https://ibox.co.id/product/jbl-charge-4-red
8100004539,JBL Charge 4 - Green,1800000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl-charge-2-green-1.jpg,Click & Pickup,https://ibox.co.id/product/jbl-charge-4-green
8100004536,JBL Charge 4 - Blue,2100000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl-charge-2-blue-1.jpg,Click & Pickup,https://ibox.co.id/product/jbl-charge-4-blue-qrp
8100004535,JBL Charge 4 - Black,1800000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl-charge-2-black-1.jpg,Click & Pickup,https://ibox.co.id/product/jbl-charge-4-black-qrp
8100006273,JBL Flip 4 - Grey,1199000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_flip_4_grey_1_1.jpg,Stok Habis,https://ibox.co.id/product/jbl-flip-4-grey
8100006271,JBL Flip 4 - Blue,1199000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_flip_4_blue_1_2.jpg,Stok Habis,https://ibox.co.id/product/jbl-flip-4-blue
8100006275,JBL Flip 4 - Black,1199000,JBL,https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl-black-1.jpg,Stok Habis,https://ibox.co.id/product/jbl-flip-4-black-qrp
8100025617,Mazer  Converter Mini DP to HDMI 4K + VGA,549000,Mazer,https://cdn.eraspace.com/pub/media/catalog/product/m/a/mazer-mini-display-port-to-hdmi-_4k30hz_vga-dual-display-adapter_1.jpg,Click & Pickup,https://ibox.co.id/product/mazer-converter-mini-dp-to-hdmi-4k-vga
8100025616,Belkin Family RockStar 4-Ports USB Home Charger - White,599000,Belkin,https://cdn.eraspace.com/pub/media/catalog/product/b/e/belkin-family-rockstar-4-ports-usb-home-charger_4.jpg,Stok Habis,https://ibox.co.id/product/belkin-family-rockstar-4-ports-usb-home-charger-white
8100013060,Earpods With 3.5 mm Headphone Plug,449000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/a/p/apple-earpods-with-3-5-mm-headphone-plug-1.jpg,Stok Habis,https://ibox.co.id/product/apple-earpods-with-3-5-mm-headphone-plug-qrp-ibox
8100011025,Beats Urbeats3 - Grey ,1600000,Beats,https://cdn.eraspace.com/pub/media/catalog/product/b/e/beats-urbeats3-gray-1.jpg,Click & Pickup,https://ibox.co.id/product/beats-urbeats3-grey
8100012483,"iPhone Xs Leather Case, Black",999000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/a/p/apple-iphone-xs-leather-case-black-1.jpg,Stok Habis,https://ibox.co.id/product/apple-iphone-xs-leather-case-black-qrp-ibox
8100012492,"iPhone Xs Max Leather Case, (PRODUCT) Red",129000,Apple,https://cdn.eraspace.com/pub/media/catalog/product/a/p/apple-iphone-xs-max-leather-case-red-1.jpg,Click & Pickup,https://ibox.co.id/product/apple-iphone-xs-max-leather-case-product-red-qrp-new-ibox
